"Notes"	"County"	"County Code"	Avg Daily Sunlight (KJ/m²)	# of Observations for Daily Sunlight	Min Daily Sunlight	Max Daily Sunlight
	"Cook County, GA"	"13075"	17727.04	48212	2194.20	33641.40
	"Coweta County, GA"	"13077"	16851.92	84371	2216.40	33017.40
	"Crawford County, GA"	"13079"	17132.48	84371	2252.10	33714.60
	"Crisp County, GA"	"13081"	17479.36	48212	2087.30	34621.10
	"Dade County, GA"	"13083"	16104.72	36159	2011.40	31709.40
	"Dawson County, GA"	"13085"	16547.06	36159	2046.00	31714.40
	"Decatur County, GA"	"13087"	17615.63	108477	2257.80	32898.20
	"DeKalb County, GA"	"13089"	16781.81	60265	2176.60	33212.50
	"Dodge County, GA"	"13091"	17571.93	72318	2074.30	34898.70
	"Dooly County, GA"	"13093"	17391.91	72318	2087.40	34681.40
	"Dougherty County, GA"	"13095"	17479.80	60265	2090.30	33593.50
	"Douglas County, GA"	"13097"	16667.60	24106	2206.40	32932.30
	"Early County, GA"	"13099"	17461.79	108477	2325.60	33094.80
	"Echols County, GA"	"13101"	17792.51	72318	2138.90	33217.70
	"Effingham County, GA"	"13103"	17748.53	96424	2207.90	35780.70
	"Elbert County, GA"	"13105"	17132.01	72318	2183.50	33200.70
	"Emanuel County, GA"	"13107"	17534.67	132583	2108.30	35092.70
	"Evans County, GA"	"13109"	17616.56	36159	2266.30	34405.10
	"Fannin County, GA"	"13111"	16042.46	84371	2047.40	31999.60
	"Fayette County, GA"	"13113"	16906.87	36159	2205.80	32998.90
	"Floyd County, GA"	"13115"	16325.03	84371	2009.40	32965.80
	"Forsyth County, GA"	"13117"	16665.36	48212	2144.30	32449.90
	"Franklin County, GA"	"13119"	16847.47	48212	2151.60	32634.20
	"Fulton County, GA"	"13121"	16706.37	108477	2102.60	33142.70
	"Gilmer County, GA"	"13123"	16113.60	84371	1957.00	31888.90
	"Glascock County, GA"	"13125"	17350.34	24106	2352.40	34259.60
	"Glynn County, GA"	"13127"	18682.12	72318	1859.90	35179.30
	"Gordon County, GA"	"13129"	16326.82	96424	1935.90	33393.00
	"Grady County, GA"	"13131"	17622.07	84371	2306.60	32722.60
	"Greene County, GA"	"13133"	17208.18	84371	2182.30	33567.40
	"Gwinnett County, GA"	"13135"	16745.94	84371	2254.80	33099.60
	"Habersham County, GA"	"13137"	16807.61	48212	2145.50	32460.80
	"Hall County, GA"	"13139"	16735.74	84371	2098.90	32977.80
	"Hancock County, GA"	"13141"	17279.53	84371	2299.30	34597.70
	"Haralson County, GA"	"13143"	16513.57	60265	2015.50	32310.80
	"Harris County, GA"	"13145"	17114.34	84371	2258.40	32997.00
	"Hart County, GA"	"13147"	16991.17	60265	2184.60	32906.90
	"Heard County, GA"	"13149"	16887.80	48212	2232.30	32845.70
	"Henry County, GA"	"13151"	17031.29	36159	2226.40	33285.10
	"Houston County, GA"	"13153"	17337.90	72318	2171.60	34375.00
	"Irwin County, GA"	"13155"	17661.39	60265	2079.70	34130.90
	"Jackson County, GA"	"13157"	16856.54	72318	2231.40	32943.80
	"Jasper County, GA"	"13159"	17143.95	108477	2188.40	33672.00
	"Jeff Davis County, GA"	"13161"	17588.94	96424	1959.50	34534.20
	"Jefferson County, GA"	"13163"	17436.53	108477	2415.30	34941.20
	"Jenkins County, GA"	"13165"	17584.28	60265	2313.20	35272.90
	"Johnson County, GA"	"13167"	17471.38	36159	2419.40	34551.00
	"Jones County, GA"	"13169"	17208.51	72318	2213.80	33962.00
	"Lamar County, GA"	"13171"	17096.94	48212	2215.60	33120.60
	"Lanier County, GA"	"13173"	17793.90	12053	2299.50	33605.60
	"Laurens County, GA"	"13175"	17511.42	168742	2144.60	35096.20
	"Lee County, GA"	"13177"	17428.13	60265	2202.40	34293.60
	"Liberty County, GA"	"13179"	18239.93	120530	1884.00	35407.70
	"Lincoln County, GA"	"13181"	17356.03	48212	2198.30	33829.10
	"Long County, GA"	"13183"	17822.31	96424	2007.60	34975.70
	"Lowndes County, GA"	"13185"	17802.58	84371	2304.90	33571.00
	"Lumpkin County, GA"	"13187"	16528.40	60265	2068.50	32262.40
	"McDuffie County, GA"	"13189"	17281.80	48212	2315.60	34041.30
	"McIntosh County, GA"	"13191"	18694.33	72318	1815.00	35350.10
	"Macon County, GA"	"13193"	17302.74	72318	2189.90	34390.40
	"Madison County, GA"	"13195"	17029.66	60265	2283.50	32712.30
	"Marion County, GA"	"13197"	17219.90	72318	2241.70	33716.40
	"Meriwether County, GA"	"13199"	16962.48	108477	2136.00	32927.40
	"Miller County, GA"	"13201"	17479.04	36159	2280.40	33012.90
	"Mitchell County, GA"	"13205"	17502.11	84371	2057.40	33294.30
	"Monroe County, GA"	"13207"	17100.53	60265	2268.60	33499.20
	"Montgomery County, GA"	"13209"	17538.14	48212	2053.60	34790.50
	"Morgan County, GA"	"13211"	17105.94	60265	2258.50	33439.60
	"Murray County, GA"	"13213"	16081.85	72318	2045.90	32596.90
	"Muscogee County, GA"	"13215"	17114.18	60265	2327.60	33440.50
	"Newton County, GA"	"13217"	17029.64	36159	2258.30	33289.30
	"Oconee County, GA"	"13219"	16984.47	36159	2317.60	33133.10
	"Oglethorpe County, GA"	"13221"	17054.27	60265	2374.70	33028.90
	"Paulding County, GA"	"13223"	16483.34	60265	2040.70	32718.60
	"Peach County, GA"	"13225"	17336.26	24106	2247.00	34002.50
	"Pickens County, GA"	"13227"	16443.86	36159	1955.60	32785.20
	"Pierce County, GA"	"13229"	17729.38	72318	1973.00	34104.20
	"Pike County, GA"	"13231"	17004.81	48212	2056.60	32757.90
	"Polk County, GA"	"13233"	16421.88	84371	1917.40	32851.20
	"Pulaski County, GA"	"13235"	17477.40	60265	2160.00	34916.30
	"Putnam County, GA"	"13237"	17211.85	84371	2239.50	34058.40
	"Quitman County, GA"	"13239"	17278.59	48212	2213.70	33325.10
	"Rabun County, GA"	"13241"	16714.61	84371	2201.90	31453.50
	"Randolph County, GA"	"13243"	17353.24	72318	2220.40	33573.60
	"Richmond County, GA"	"13245"	17434.30	84371	2344.10	34949.70
	"Rockdale County, GA"	"13247"	16942.02	36159	2245.70	33398.30
	"Schley County, GA"	"13249"	17247.46	36159	2214.40	34219.00
	"Screven County, GA"	"13251"	17586.66	132583	2326.90	35441.70
	"Seminole County, GA"	"13253"	17599.68	60265	2391.70	32930.50
	"Spalding County, GA"	"13255"	17016.12	36159	2138.40	33102.30
	"Stephens County, GA"	"13257"	16958.04	24106	2192.60	32820.00
	"Stewart County, GA"	"13259"	17260.31	96424	2168.70	33532.60
	"Sumter County, GA"	"13261"	17321.55	84371	2077.80	34495.40
	"Talbot County, GA"	"13263"	17046.32	84371	2296.60	32895.40
	"Taliaferro County, GA"	"13265"	17224.07	36159	2319.00	33702.10
	"Tattnall County, GA"	"13267"	17587.64	84371	2091.30	34167.90
	"Taylor County, GA"	"13269"	17149.11	72318	2233.80	33575.70
	"Telfair County, GA"	"13271"	17586.94	84371	2010.60	35188.70
	"Terrell County, GA"	"13273"	17331.42	60265	2288.50	34042.60
	"Thomas County, GA"	"13275"	17686.01	120530	2223.60	32903.40
	"Tift County, GA"	"13277"	17627.25	36159	2158.70	33604.00
	"Toombs County, GA"	"13279"	17542.03	60265	2072.60	34155.30
	"Towns County, GA"	"13281"	16381.64	36159	2202.00	29708.90
	"Treutlen County, GA"	"13283"	17518.96	48212	2159.90	34943.10
	"Troup County, GA"	"13285"	16950.11	84371	2205.40	32722.80
	"Turner County, GA"	"13287"	17556.39	36159	2111.70	34189.00
	"Twiggs County, GA"	"13289"	17364.81	72318	2295.50	34272.10
	"Union County, GA"	"13291"	16160.10	72318	2055.40	29932.60
	"Upson County, GA"	"13293"	17108.73	60265	2092.20	32897.50
	"Walker County, GA"	"13295"	16221.58	84371	2015.40	32443.80
	"Walton County, GA"	"13297"	16929.55	72318	2278.00	33281.10
	"Ware County, GA"	"13299"	17751.51	156689	1834.50	33920.50
	"Warren County, GA"	"13301"	17284.19	60265	2302.80	34398.90
	"Washington County, GA"	"13303"	17398.35	144636	2409.70	34408.50
	"Wayne County, GA"	"13305"	17822.85	108477	1984.20	34815.30
	"Webster County, GA"	"13307"	17260.11	36159	2177.70	34208.90
	"Wheeler County, GA"	"13309"	17587.83	48212	2032.40	35005.20
	"White County, GA"	"13311"	16658.42	48212	2024.20	31944.90
	"Whitfield County, GA"	"13313"	16178.35	36159	2077.20	32835.60
	"Wilcox County, GA"	"13315"	17519.07	72318	2113.60	34696.90
	"Wilkes County, GA"	"13317"	17184.91	96424	2196.10	33684.80
	"Wilkinson County, GA"	"13319"	17411.17	72318	2322.40	34506.90
	"Worth County, GA"	"13321"	17540.95	108477	2096.50	34300.40
	"Ada County, ID"	"16001"	16625.10	216954	1831.60	32830.80
	"Adams County, ID"	"16003"	16092.94	301325	1711.80	32529.40
	"Bannock County, ID"	"16005"	16643.53	216954	2319.00	30767.80
	"Bear Lake County, ID"	"16007"	17125.18	265166	2499.00	30900.30
	"Benewah County, ID"	"16009"	13986.94	168742	1117.50	30575.30
	"Bingham County, ID"	"16011"	16258.10	458014	1950.00	30963.90
	"Blaine County, ID"	"16013"	16854.18	542385	2126.20	31577.60
	"Boise County, ID"	"16015"	16547.02	445961	1931.10	33240.00
	"Bonner County, ID"	"16017"	13782.64	470067	912.20	31157.80
	"Bonneville County, ID"	"16019"	16365.51	458014	1839.90	31426.10
	"Boundary County, ID"	"16021"	13821.66	301325	1173.90	31049.90
	"Butte County, ID"	"16023"	16515.52	530332	2068.80	30888.40
	"Camas County, ID"	"16025"	17156.46	229007	2413.70	31936.40
	"Canyon County, ID"	"16027"	16558.04	120530	1604.30	32916.90
	"Caribou County, ID"	"16029"	16742.80	385696	2311.60	31125.50
	"Cassia County, ID"	"16031"	16538.17	530332	2205.10	30351.70
	"Clark County, ID"	"16033"	16074.54	421855	2128.30	30928.00
	"Clearwater County, ID"	"16035"	14584.89	554438	1143.10	32175.20
	"Custer County, ID"	"16037"	16279.07	1120929	2262.10	32734.50
	"Elmore County, ID"	"16039"	16938.02	687021	1851.00	33376.00
	"Franklin County, ID"	"16041"	17222.43	132583	2232.90	30983.30
	"Fremont County, ID"	"16043"	16136.39	458014	2029.50	33272.00
	"Gem County, ID"	"16045"	16206.28	156689	1805.80	32468.10
	"Gooding County, ID"	"16047"	16982.79	192848	1939.10	32155.90
	"Idaho County, ID"	"16049"	15105.29	2000798	1205.10	33700.00
	"Jefferson County, ID"	"16051"	16113.71	204901	2090.60	31089.50
	"Jerome County, ID"	"16053"	16646.67	132583	2011.30	31060.00
	"Kootenai County, ID"	"16055"	13814.01	289272	1046.30	30350.70
	"Latah County, ID"	"16057"	14433.85	216954	1117.20	30608.30
	"Lemhi County, ID"	"16059"	15855.02	1000399	1654.90	31242.00
	"Lewis County, ID"	"16061"	14662.14	144636	1242.70	30419.90
	"Lincoln County, ID"	"16063"	16954.33	313378	2021.40	31465.40
	"Madison County, ID"	"16065"	16046.27	96424	1976.60	30464.10
	"Minidoka County, ID"	"16067"	16600.45	192848	2044.80	30816.20
	"Nez Perce County, ID"	"16069"	14706.38	168742	1174.30	30432.50
	"Oneida County, ID"	"16071"	16703.60	277219	2221.30	30910.90
	"Owyhee County, ID"	"16073"	16650.94	1639208	1799.50	32635.50
	"Payette County, ID"	"16075"	16287.78	84371	1573.40	32995.90
	"Power County, ID"	"16077"	16449.15	325431	2181.40	30461.70
	"Shoshone County, ID"	"16079"	14287.58	711127	1145.60	32631.40
	"Teton County, ID"	"16081"	16458.71	108477	2168.50	30970.70
	"Twin Falls County, ID"	"16083"	16606.40	397749	1849.00	31171.70
	"Valley County, ID"	"16085"	16069.70	795498	1700.30	32731.70
	"Washington County, ID"	"16087"	16153.04	373643	1621.30	32225.20
	"Adams County, IL"	"17001"	15108.11	229007	1495.90	29756.10
	"Alexander County, IL"	"17003"	15752.16	72318	1496.10	31865.70
	"Bond County, IL"	"17005"	15340.01	72318	1600.10	30108.50
	"Boone County, IL"	"17007"	14434.73	72318	1474.30	29785.80
	"Brown County, IL"	"17009"	15063.01	60265	1546.40	29485.50
	"Bureau County, IL"	"17011"	14640.40	216954	1443.00	29497.00
	"Calhoun County, IL"	"17013"	15439.43	48212	1650.40	29895.50
	"Carroll County, IL"	"17015"	14514.95	120530	1402.20	29311.10
	"Cass County, IL"	"17017"	15020.99	84371	1521.90	29357.00
	"Champaign County, IL"	"17019"	14945.13	204901	1440.30	29933.60
	"Christian County, IL"	"17021"	15112.20	132583	1510.60	29477.20
	"Clark County, IL"	"17023"	15015.56	120530	1604.40	29951.80
	"Clay County, IL"	"17025"	15243.45	96424	1626.90	30407.30
	"Clinton County, IL"	"17027"	15410.39	120530	1594.10	30366.60
	"Coles County, IL"	"17029"	15027.50	96424	1600.50	29661.50
	"Cook County, IL"	"17031"	14763.45	180795	1541.20	33940.80
	"Crawford County, IL"	"17033"	15101.42	84371	1640.90	30180.80
	"Cumberland County, IL"	"17035"	15074.63	96424	1517.30	29803.70
	"DeKalb County, IL"	"17037"	14527.05	144636	1456.30	29767.90
	"De Witt County, IL"	"17039"	14931.58	84371	1488.80	29581.20
	"Douglas County, IL"	"17041"	15005.21	96424	1555.10	29658.40
	"DuPage County, IL"	"17043"	14439.07	72318	1576.20	30321.00
	"Edgar County, IL"	"17045"	14981.50	144636	1580.20	29942.50
	"Edwards County, IL"	"17047"	15313.41	36159	1689.30	30564.50
	"Effingham County, IL"	"17049"	15164.49	96424	1545.50	29912.10
	"Fayette County, IL"	"17051"	15214.38	156689	1593.80	30003.40
	"Ford County, IL"	"17053"	14796.95	120530	1450.00	29734.30
	"Franklin County, IL"	"17055"	15528.74	72318	1635.30	30799.90
	"Fulton County, IL"	"17057"	14888.82	192848	1482.40	29028.30
	"Gallatin County, IL"	"17059"	15525.59	48212	1525.00	31501.80
	"Greene County, IL"	"17061"	15313.51	120530	1609.30	29707.20
	"Grundy County, IL"	"17063"	14659.77	108477	1439.90	29756.80
	"Hamilton County, IL"	"17065"	15464.12	108477	1603.40	30977.70
	"Hancock County, IL"	"17067"	14950.02	156689	1486.60	29541.00
	"Hardin County, IL"	"17069"	15632.91	24106	1516.80	31851.80
	"Henderson County, IL"	"17071"	14838.40	120530	1466.70	29522.20
	"Henry County, IL"	"17073"	14673.38	192848	1431.40	29429.80
	"Iroquois County, IL"	"17075"	14783.19	241060	1448.30	29846.10
	"Jackson County, IL"	"17077"	15546.36	144636	1637.70	30604.50
	"Jasper County, IL"	"17079"	15113.86	72318	1536.00	30036.30
	"Jefferson County, IL"	"17081"	15428.64	108477	1661.20	30488.40
	"Jersey County, IL"	"17083"	15399.87	84371	1673.90	29736.00
	"Jo Daviess County, IL"	"17085"	14465.30	120530	1386.20	29040.20
	"Johnson County, IL"	"17087"	15629.28	60265	1495.70	31387.20
	"Kane County, IL"	"17089"	14446.31	108477	1470.90	29877.50
	"Kankakee County, IL"	"17091"	14721.38	144636	1472.90	29765.50
	"Kendall County, IL"	"17093"	14558.02	72318	1505.40	29795.70
	"Knox County, IL"	"17095"	14787.54	144636	1460.90	29169.10
	"Lake County, IL"	"17097"	14919.27	132583	1419.10	33409.10
	"LaSalle County, IL"	"17099"	14659.25	216954	1479.10	29590.50
	"Lawrence County, IL"	"17101"	15168.24	72318	1697.80	30531.60
	"Lee County, IL"	"17103"	14583.60	120530	1483.60	29374.30
	"Livingston County, IL"	"17105"	14801.53	216954	1474.40	29614.50
	"Logan County, IL"	"17107"	14912.37	168742	1445.90	29574.00
	"McDonough County, IL"	"17109"	14932.12	108477	1480.80	29238.90
	"McHenry County, IL"	"17111"	14462.83	144636	1522.80	30005.10
	"McLean County, IL"	"17113"	14875.11	253113	1457.80	29523.70
	"Macon County, IL"	"17115"	14989.01	96424	1502.10	29405.30
	"Macoupin County, IL"	"17117"	15273.19	144636	1633.00	29721.00
	"Madison County, IL"	"17119"	15421.27	168742	1654.50	29873.60
	"Marion County, IL"	"17121"	15322.39	108477	1620.00	30282.40
	"Marshall County, IL"	"17123"	14740.55	108477	1438.60	29600.60
	"Mason County, IL"	"17125"	14886.93	132583	1485.50	29315.80
	"Massac County, IL"	"17127"	15685.88	60265	1485.70	31958.10
	"Menard County, IL"	"17129"	15015.32	60265	1520.30	29170.20
	"Mercer County, IL"	"17131"	14721.40	120530	1559.50	29456.90
	"Monroe County, IL"	"17133"	15561.23	84371	1720.90	30060.40
	"Montgomery County, IL"	"17135"	15227.34	180795	1524.10	29851.50
	"Morgan County, IL"	"17137"	15138.62	132583	1558.70	29462.20
	"Moultrie County, IL"	"17139"	15046.86	60265	1617.30	29365.30
	"Ogle County, IL"	"17141"	14525.31	204901	1442.20	29369.50
	"Peoria County, IL"	"17143"	14781.31	144636	1458.10	29283.10
	"Perry County, IL"	"17145"	15505.05	96424	1687.80	30702.20
	"Piatt County, IL"	"17147"	14985.39	84371	1458.00	29680.50
	"Pike County, IL"	"17149"	15204.99	180795	1431.40	29874.40
	"Pope County, IL"	"17151"	15594.64	84371	1473.10	31811.90
	"Pulaski County, IL"	"17153"	15709.94	48212	1496.80	31706.50
	"Putnam County, IL"	"17155"	14653.05	48212	1549.70	29581.70
	"Randolph County, IL"	"17157"	15520.81	120530	1707.00	30178.70
	"Richland County, IL"	"17159"	15176.43	72318	1573.30	30589.80
	"Rock Island County, IL"	"17161"	14617.98	84371	1551.30	29334.10
	"St. Clair County, IL"	"17163"	15519.03	108477	1649.40	30186.80
	"Saline County, IL"	"17165"	15555.03	72318	1519.30	31218.60
	"Sangamon County, IL"	"17167"	15084.15	192848	1490.60	29327.90
	"Schuyler County, IL"	"17169"	14999.16	84371	1518.90	29379.60
	"Scott County, IL"	"17171"	15211.24	60265	1612.10	29524.50
	"Shelby County, IL"	"17173"	15073.96	132583	1583.40	29578.00
	"Stark County, IL"	"17175"	14790.59	60265	1451.10	29155.40
	"Stephenson County, IL"	"17177"	14446.01	96424	1463.80	29380.90
	"Tazewell County, IL"	"17179"	14824.65	120530	1484.90	29494.80
	"Union County, IL"	"17181"	15585.48	96424	1500.10	31195.20
	"Vermilion County, IL"	"17183"	14881.00	229007	1478.90	29953.60
	"Wabash County, IL"	"17185"	15268.65	72318	1583.20	30553.20
	"Warren County, IL"	"17187"	14841.11	96424	1478.80	29323.90
	"Washington County, IL"	"17189"	15442.90	108477	1632.80	30519.80
	"Wayne County, IL"	"17191"	15348.90	180795	1656.50	30599.40
	"White County, IL"	"17193"	15477.14	108477	1616.60	31096.90
	"Whiteside County, IL"	"17195"	14572.72	120530	1467.40	29487.60
	"Will County, IL"	"17197"	14608.13	216954	1368.60	29954.60
	"Williamson County, IL"	"17199"	15574.41	72318	1513.00	30714.70
	"Winnebago County, IL"	"17201"	14463.86	84371	1467.10	29742.70
	"Woodford County, IL"	"17203"	14822.86	96424	1423.30	29520.90
	"Adams County, IN"	"18001"	14630.84	72318	1619.80	30147.10
	"Allen County, IN"	"18003"	14540.99	180795	1495.80	30302.10
	"Bartholomew County, IN"	"18005"	15055.18	96424	1711.20	30603.50
	"Benton County, IN"	"18007"	14809.22	72318	1429.00	30050.20
	"Blackford County, IN"	"18009"	14721.17	48212	1625.10	30287.80
	"Boone County, IN"	"18011"	14734.95	132583	1674.70	29591.60
	"Brown County, IN"	"18013"	15081.49	72318	1745.40	30587.00
	"Carroll County, IN"	"18015"	14717.54	84371	1448.10	30551.60
	"Cass County, IN"	"18017"	14684.28	72318	1418.40	30389.70
	"Clark County, IN"	"18019"	15108.38	96424	1613.70	30742.90
	"Clay County, IN"	"18021"	14963.26	72318	1620.00	29993.20
	"Clinton County, IN"	"18023"	14716.68	84371	1467.70	30024.50
	"Crawford County, IN"	"18025"	15195.37	60265	1554.40	30613.70
	"Daviess County, IN"	"18027"	15114.71	108477	1591.50	30162.70
	"Dearborn County, IN"	"18029"	15035.88	60265	1796.70	31175.80
	"Decatur County, IN"	"18031"	14948.63	108477	1710.10	30410.00
	"De Kalb County, IN"	"18033"	14521.04	96424	1578.30	29874.90
	"Delaware County, IN"	"18035"	14742.46	72318	1667.40	30208.00
	"Dubois County, IN"	"18037"	15163.28	72318	1491.80	30338.60
	"Elkhart County, IN"	"18039"	14445.85	96424	1458.00	29653.40
	"Fayette County, IN"	"18041"	14854.86	48212	1740.40	30635.10
	"Floyd County, IN"	"18043"	15086.26	36159	1650.50	30545.90
	"Fountain County, IN"	"18045"	14845.29	72318	1565.70	29937.40
	"Franklin County, IN"	"18047"	14963.64	96424	1777.00	30963.20
	"Fulton County, IN"	"18049"	14596.86	84371	1484.10	30134.60
	"Gibson County, IN"	"18051"	15286.81	84371	1586.20	30528.00
	"Grant County, IN"	"18053"	14686.06	72318	1545.80	30176.30
	"Greene County, IN"	"18055"	15036.17	96424	1710.10	30378.30
	"Hamilton County, IN"	"18057"	14699.17	108477	1644.00	29954.80
	"Hancock County, IN"	"18059"	14726.09	60265	1686.70	29965.80
	"Harrison County, IN"	"18061"	15189.98	96424	1596.50	30916.30
	"Hendricks County, IN"	"18063"	14821.04	72318	1703.90	29650.50
	"Henry County, IN"	"18065"	14767.45	108477	1613.30	30211.90
	"Howard County, IN"	"18067"	14712.15	96424	1513.20	30444.90
	"Huntington County, IN"	"18069"	14642.78	72318	1541.80	30326.20
	"Jackson County, IN"	"18071"	15097.61	108477	1680.10	30991.60
	"Jasper County, IN"	"18073"	14694.86	120530	1540.30	30144.00
	"Jay County, IN"	"18075"	14692.86	96424	1495.70	30249.70
	"Jefferson County, IN"	"18077"	15108.88	60265	1796.20	30627.00
	"Jennings County, IN"	"18079"	15072.90	48212	1789.40	30628.70
	"Johnson County, IN"	"18081"	14910.86	48212	1701.60	30056.10
	"Knox County, IN"	"18083"	15169.02	96424	1594.00	30439.00
	"Kosciusko County, IN"	"18085"	14535.39	180795	1434.50	30062.50
	"Lagrange County, IN"	"18087"	14486.93	72318	1442.60	29579.30
	"Lake County, IN"	"18089"	14600.65	84371	1599.40	29820.60
	"La Porte County, IN"	"18091"	14513.09	144636	1512.60	29801.20
	"Lawrence County, IN"	"18093"	15064.81	132583	1605.00	30569.80
	"Madison County, IN"	"18095"	14697.15	72318	1588.30	30066.30
	"Marion County, IN"	"18097"	14759.63	72318	1712.50	29774.70
	"Marshall County, IN"	"18099"	14506.10	108477	1450.20	30081.90
	"Martin County, IN"	"18101"	15107.96	36159	1602.30	30277.50
	"Miami County, IN"	"18103"	14644.75	36159	1516.80	30327.20
	"Monroe County, IN"	"18105"	15044.39	108477	1699.90	30696.80
	"Montgomery County, IN"	"18107"	14780.76	108477	1588.60	29895.00
	"Morgan County, IN"	"18109"	14939.17	72318	1782.50	30215.80
	"Newton County, IN"	"18111"	14720.14	84371	1475.60	29990.90
	"Noble County, IN"	"18113"	14525.92	72318	1431.70	29771.00
